id,Title,Year,Age,IMDb,RTScore,Netflix,Hulu,Prime,Disney,Type
273,Raising Dion,2019,7,7.2,71,1,0,0,0,1
274,Food Wars! Shokugeki no Soma,2015,18,8.2,71,1,1,0,0,1
275,Crash Landing on You,2019,16,8.7,71,1,0,0,0,1
276,Seven Seconds,2018,18,7.7,71,1,0,0,0,1
277,The Great British Bake Off,2010,7,8.5,70,1,0,0,0,1
278,Wizards: Tales of Arcadia,2020,7,8.2,70,1,0,0,0,1
279,Conversations with a Killer: The Ted Bundy Tapes,2019,18,7.8,70,1,0,0,0,1
280,Lenox Hill,2020,,8.7,70,1,0,0,0,1
281,Fate: The Winx Saga,2021,18,6.9,70,1,0,0,0,1
282,The Circle,2020,18,7.3,70,1,0,1,0,1
283,Cheer,2020,16,8.1,70,1,0,0,0,1
284,Hemlock Grove,2013,18,7.1,70,1,0,0,0,1
285,Transformers: War for Cybertron: Siege,2020,16,7.4,70,1,0,0,0,1
286,Explained,2018,16,8.0,70,1,0,0,0,1
287,Messiah,2020,18,7.6,70,1,0,0,0,1
288,Sky Rojo,2021,18,6.5,70,1,0,0,0,1
289,Bonding,2019,18,7.2,70,1,0,0,0,1
290,I'm Sorry,2017,7,8.0,70,1,0,0,0,1
291,Katla,2021,18,7.1,70,1,0,0,0,1
292,It's Okay to Not Be Okay,2020,16,8.8,70,1,0,0,0,1
293,Forensic Files,1996,16,8.8,70,1,1,1,0,1
294,Workin' Moms,2017,18,7.6,70,1,0,0,0,1
295,The Toys That Made Us,2017,16,8.1,70,1,0,0,0,1
296,The Devil Next Door,2019,18,7.6,70,1,0,0,0,1
297,Kipo and the Age of Wonderbeasts,2020,7,8.4,70,1,0,0,0,1
298,"Roswell, New Mexico",2019,16,6.2,70,1,0,0,0,1
299,Night Stalker: The Hunt For a Serial Killer,2021,18,7.5,70,1,0,0,0,1
300,Glitch,2015,16,7.3,70,1,0,0,0,1
301,Great Pretender,2020,18,8.0,69,1,0,0,0,1
302,InuYasha,2000,16,7.9,69,1,1,0,0,1
303,In the Dark,2019,16,7.5,69,1,0,0,0,1
304,GHOUL,2018,18,7.1,69,1,0,0,0,1
305,Nailed It!,2018,7,7.4,69,1,0,0,0,1
306,Voltron: Legendary Defender,2016,7,8.1,69,1,0,0,0,1
307,Trollhunters: Tales of Arcadia,2016,7,8.4,69,1,0,0,0,1
308,Sweet Magnolias,2020,16,7.4,69,1,0,0,0,1
309,Medici: Masters of Florence,2016,7,7.9,69,1,0,0,0,1
310,The Innocent,2021,,7.9,69,1,0,0,0,1
311,Aggretsuko,2018,16,8.1,69,1,0,0,0,1
312,Jurassic World: Camp Cretaceous,2020,7,7.5,69,1,0,0,0,1
313,Rake,2010,16,8.5,69,1,1,1,0,1
314,The Serpent,2021,,7.6,69,1,0,0,0,1
315,The Gift,2019,18,7.2,69,1,1,0,0,1
316,Violet Evergarden,2018,16,8.5,69,1,0,0,0,1
317,3Below: Tales of Arcadia,2018,7,7.7,69,1,0,0,0,1
318,Jeffrey Epstein: Filthy Rich,2020,18,7.1,69,1,0,0,0,1
319,Dawson's Creek,1998,7,6.6,69,1,1,0,0,1
320,Private Practice,2007,16,6.7,69,1,1,0,0,1
321,Beauty and the Beast,2012,7,7.0,69,1,0,0,1,1
322,Daybreak,2019,18,6.7,69,1,0,0,0,1
323,Easy,2016,18,6.9,69,1,0,0,0,1
324,Behind Her Eyes,2021,18,7.2,68,1,0,0,0,1
325,Collateral,2018,18,6.8,68,1,0,0,0,1
326,Knightfall,2017,16,6.8,68,1,0,0,0,1
327,The Confession Killer,2019,16,7.4,68,1,0,0,0,1
328,Sophie: A Murder In West Cork,2021,18,6.9,68,1,0,0,0,1
329,Call My Agent!,2015,16,8.3,68,1,0,0,0,1
330,My Little Pony: Friendship Is Magic,2010,7,7.6,68,1,1,0,0,1
331,Leah Remini: Scientology and the Aftermath,2016,16,9.0,68,1,1,0,0,1
332,Containment,2016,16,7.2,68,1,0,0,0,1
333,Z Nation,2014,16,6.7,68,1,0,0,0,1
334,Emily in Paris,2020,18,7.0,68,1,0,0,0,1
335,Victorious,2010,7,6.9,68,1,0,0,0,1
336,Scream: The TV Series,2015,16,7.1,68,1,0,0,0,1
337,Akame ga Kill!,2014,18,7.8,68,1,1,0,0,1
338,Warrior Nun,2020,18,6.9,68,1,0,0,0,1
339,Bad Blood,2017,18,7.5,68,1,0,0,0,1
340,Young & Hungry,2014,16,7.4,68,1,0,0,0,1
341,Caliphate,2020,18,8.2,68,1,0,0,0,1
342,'Allo 'Allo!,1984,,8.3,68,1,0,0,0,1
343,Good Witch,2015,7,7.3,68,1,0,0,0,1
344,Gilmore Girls: A Year in the Life,2016,16,7.6,68,1,0,0,0,1
345,Aquarius,2015,16,7.1,68,1,0,0,0,1
346,Firefly Lane,2021,18,7.4,67,1,0,0,0,1
347,White Gold,2017,18,7.4,67,1,0,0,0,1
348,Hyperdrive,2019,7,8.1,67,1,0,1,0,1
349,Reply 1988,2015,,9.1,67,1,0,0,0,1
350,Ninjago: Masters of Spinjitzu,2012,all,7.2,67,1,0,1,0,1
351,Spotless,2015,,7.8,67,1,0,0,0,1
352,Devilman: Crybaby,2018,,7.6,67,1,0,0,0,1
353,BEASTARS,2019,18,7.8,67,1,0,0,0,1
354,Kill la Kill,2013,18,7.9,67,1,0,0,0,1
